'NZXT H510'; 'Gabinete'; 'NZXT'; '799.00'; '6.5'; 'Gabinete com design minimalista, vidro temperado e excelente fluxo de ar.'; '../static/img/produtos/gabinetes/nzxt_h510.jpg'
'Corsair 4000D Airflow'; 'Gabinete'; 'Corsair'; '689.00'; '7.0'; 'Gabinete projetado para máximo fluxo de ar com painel frontal em mesh.'; '../static/img/produtos/gabinetes/corsair_4000d_airflow.jpg'
'Fractal Design Meshify C'; 'Gabinete'; 'Fractal Design'; '749.00'; '6.0'; 'Gabinete compacto com painel frontal em mesh para otimização de resfriamento.'; '../static/img/produtos/gabinetes/fractal_design_meshify_c.jpg'
'Cooler Master MasterBox Q300L'; 'Gabinete'; 'Cooler Master'; '499.00'; '5.6'; 'Gabinete compacto e modular com painel lateral em acrílico e excelente ventilação.'; '../static/img/produtos/gabinetes/cooler_master_masterbox_q300l.jpg'
'Phanteks Eclipse P400A'; 'Gabinete'; 'Phanteks'; '699.00'; '6.2'; 'Gabinete com design elegante e alto desempenho em resfriamento graças ao seu painel frontal em mesh.'; '../static/img/produtos/gabinetes/phanteks_eclipse_p400a.jpg'
'Thermaltake H200 TG'; 'Gabinete'; 'Thermaltake'; '529.00'; '5.4'; 'Gabinete com design minimalista, painel lateral em vidro temperado e iluminação RGB na frente.'; '../static/img/produtos/gabinetes/thermaltake_h200_tg.jpg'
'Lian Li PC-O11 Dynamic'; 'Gabinete'; 'Lian Li'; '1299.00'; '10.2'; 'Gabinete com design moderno e capacidade para montagem de sistemas high-end com excelente gerenciamento de cabos.'; '../static/img/produtos/gabinetes/lian_li_pc_o11_dynamic.jpg'
'Antec DF600 FLUX'; 'Gabinete'; 'Antec'; '659.00'; '7.0'; 'Gabinete com design agressivo e fluxo de ar otimizado com ventiladores de alto desempenho.'; '../static/img/produtos/gabinetes/antec_df600_flux.jpg'
'Cougar MX330'; 'Gabinete'; 'Cougar'; '439.00'; '4.9'; 'Gabinete compacto com painel lateral em acrílico e boa capacidade de resfriamento.'; '../static/img/produtos/gabinetes/cougar_mx330.jpg'
'AeroCool Cylon'; 'Gabinete'; 'AeroCool'; '349.00'; '4.7'; 'Gabinete com design futurista e iluminação LED RGB na frente.'; '../static/img/produtos/gabinetes/aerocool_cylon.jpg'
'DeepCool Matrexx 55 Mesh'; 'Gabinete'; 'DeepCool'; '569.00'; '6.3'; 'Gabinete com design em mesh para melhor fluxo de ar e painel lateral em vidro temperado.'; '../static/img/produtos/gabinetes/deepcool_matrexx_55_mesh.jpg'
'Be Quiet! Pure Base 500'; 'Gabinete'; 'Be Quiet!'; '719.00'; '7.0'; 'Gabinete com isolamento acústico e design elegante para montagens silenciosas.'; '../static/img/produtos/gabinetes/be_quiet_pure_base_500.jpg'
'InWin 101'; 'Gabinete'; 'InWin'; '459.00'; '4.6'; 'Gabinete com design minimalista e construção robusta com painel lateral em vidro temperado.'; '../static/img/produtos/gabinetes/inwin_101.jpg'
'MSI MAG Forge 100R'; 'Gabinete'; 'MSI'; '549.00'; '5.9'; 'Gabinete com iluminação RGB e excelente gerenciamento de cabos.'; '../static/img/produtos/gabinetes/msi_mag_forge_100r.jpg'
'Sharkoon VG6-W'; 'Gabinete'; 'Sharkoon'; '499.00'; '5.5'; 'Gabinete com design gamer, iluminação RGB e painel lateral em acrílico.'; '../static/img/produtos/gabinetes/sharkoon_vg6_w.jpg'
'Zalman Z3 Plus'; 'Gabinete'; 'Zalman'; '419.00'; '4.8'; 'Gabinete com painel frontal em mesh e iluminação LED.'; '../static/img/produtos/gabinetes/zalman_z3_plus.jpg'
'Cooler Master HAF 700'; 'Gabinete'; 'Cooler Master'; '1299.00'; '12.0'; 'Gabinete com design robusto e capacidade para resfriamento avançado e montagem de sistemas high-end.'; '../static/img/produtos/gabinetes/cooler_master_haf_700.jpg'
'Fractal Design Define 7'; 'Gabinete'; 'Fractal Design'; '1399.00'; '10.5'; 'Gabinete com design premium e opções de configuração flexíveis para montagem de sistemas silenciosos e de alto desempenho.'; '../static/img/produtos/gabinetes/fractal_design_define_7.jpg'
'NZXT H510 Elite'; 'Gabinete'; 'NZXT'; '1099.00'; '7.5'; 'Gabinete com design minimalista, vidro temperado duplo e iluminação RGB integrada.'; '../static/img/produtos/gabinetes/nzxt_h510_elite.jpg'
'Phanteks P500A'; 'Gabinete'; 'Phanteks'; '759.00'; '7.5'; 'Gabinete com design em mesh para melhor fluxo de ar e capacidade para montagem de sistemas avançados.'; '../static/img/produtos/gabinetes/phanteks_p500a.jpg'
