'Acer Nitro 5 AN515-45-R92M'; 'Notebook'; 'Acer'; '5899.00'; '2.3'; 'Notebook para jogos com alto desempenho e estilo agressivo.'; '/static/img/acer_nitro_5_an515_45_r92m.jpg'
'Dell G15 Ryzen Edition'; 'Notebook'; 'Dell'; '6499.00'; '2.44'; 'Notebook gamer com processador AMD Ryzen e gráficos poderosos.'; '/static/img/dell_g15_ryzen_edition.jpg'
'Lenovo Legion 5'; 'Notebook'; 'Lenovo'; '7999.00'; '2.5'; 'Equipado com hardware de ponta para jogos e tarefas pesadas.'; '/static/img/lenovo_legion_5.jpg'
'ASUS ROG Strix G15'; 'Notebook'; 'ASUS'; '8299.00'; '2.3'; 'Laptop de alto desempenho com iluminação RGB e design inovador.'; '/static/img/asus_rog_strix_g15.jpg'
'MSI Katana GF66'; 'Notebook'; 'MSI'; '6999.00'; '2.25'; 'Desempenho afiado para jogos com uma experiência visual impressionante.'; '/static/img/msi_katana_gf66.jpg'
'HP - OMEN 15-EK0013DX'; 'Notebook'; 'HP'; '7499.00'; '2.36'; 'Ideal para jogadores e criadores, com alta capacidade de processamento.'; '/static/img/hp_omen_15_ek0013dx.jpg'
'Razer Blade 15'; 'Notebook'; 'Razer'; '11999.00'; '2.1'; 'Notebook gamer ultrafino com visual elegante e desempenho excepcional.'; '/static/img/razer_blade_15.jpg'
'Acer Predator Helios 300'; 'Notebook'; 'Acer'; '8499.00'; '2.5'; 'Laptop gamer robusto com refrigeração eficiente e gráficos de ponta.'; '/static/img/acer_predator_helios_300.jpg'
'Alienware m15 R6'; 'Notebook'; 'Alienware'; '12499.00'; '2.42'; 'Gaming laptop com design futurista e hardware de alta performance.'; '/static/img/alienware_m15_r6.jpg'
'Gigabyte Aorus 15G'; 'Notebook'; 'Gigabyte'; '10799.00'; '2.2'; 'Construído para gamers com necessidades de alto desempenho e portabilidade.'; '/static/img/gigabyte_aorus_15g.jpg'
'Lenovo Legion 7'; 'Notebook'; 'Lenovo'; '13999.00'; '2.5'; 'Top de linha para jogos intensos e multitarefas exigentes.'; '/static/img/lenovo_legion_7.jpg'
'ASUS TUF Gaming F15'; 'Notebook'; 'ASUS'; '5799.00'; '2.3'; 'Projetado para durabilidade e desempenho em jogos.'; '/static/img/asus_tuf_gaming_f15.jpg'
'MSI GS66 Stealth'; 'Notebook'; 'MSI'; '14499.00'; '2.1'; 'Design discreto com capacidade para jogos e trabalhos criativos.'; '/static/img/msi_gs66_stealth.jpg'
'Acer Predator Triton 300'; 'Notebook'; 'Acer'; '9299.00'; '2.1'; 'Leve e potente, feito para jogadores e profissionais em movimento.'; '/static/img/acer_predator_triton_300.jpg'
'HP Pavilion Gaming 16'; 'Notebook'; 'HP'; '6199.00'; '2.35'; 'Equipado com hardware capaz de rodar os jogos mais recentes.'; '/static/img/hp_pavilion_gaming_16.jpg'
'Razer Blade 17'; 'Notebook'; 'Razer'; '18999.00'; '2.7'; 'Laptop premium com tela grande e desempenho inigualável para gamers.'; '/static/img/razer_blade_17.jpg'
'Gigabyte Aero 15'; 'Notebook'; 'Gigabyte'; '10499.00'; '2.0'; 'Fino, leve e poderoso, ideal para criadores de conteúdo e gamers.'; '/static/img/gigabyte_aero_15.jpg'
'ASUS ROG Zephyrus G14'; 'Notebook'; 'ASUS'; '8999.00'; '1.7'; 'Compacto e com excelente desempenho para jogos e trabalho.'; '/static/img/asus_rog_zephyrus_g1.jpg'
'Dell XPS 17'; 'Notebook'; 'Dell'; '13999.00'; '2.1'; 'Design premium com hardware avançado para desempenho e criatividade.'; '/static/img/dell_xps_17.jpg'
'Alienware x17 R2'; 'Notebook'; 'Alienware'; '19999.00'; '3.2'; 'Gaming laptop de última geração com recursos de ponta e visual arrojado.'; '/static/img/alienware_x17_r2.jpg'
Dell Inspiron 15 filetype:jpg
'Dell Inspiron 15 3000'; 'Notebook'; 'Dell'; '2999.00'; '1.8'; 'Notebook com design elegante e desempenho confiável para tarefas do dia a dia.'; '/static/img/inspiron_15_3000.jpg'
'HP 15-dw3033'; 'Notebook'; 'HP'; '2799.00'; '1.75'; 'Notebook leve e acessível para uso diário e trabalho remoto.'; '/static/img/hp_15_dw3033.jpg'
'Lenovo Ideapad 3'; 'Notebook'; 'Lenovo'; '3199.00'; '1.85'; 'Laptop robusto com bom desempenho para jogos e tarefas multitarefa.'; '/static/img/lenovo_ideapad_3.jpg'
'Acer Aspire 5 A514'; 'Notebook'; 'Acer'; '3499.00'; '1.7'; 'Notebook versátil e com bom desempenho para estudos e trabalho.'; '/static/img/acer_aspire_5_a514.jpg'
'ASUS ZenBook 14 UX425'; 'Notebook'; 'ASUS'; '6999.00'; '1.17'; 'Ultrabook compacto e potente, ideal para produtividade e portabilidade.'; '/static/img/asus_zenbook_14_ux425.jpg'
'Samsung Galaxy Book Pro 360'; 'Notebook'; 'Samsung'; '8499.00'; '1.04'; 'Laptop conversível com tela AMOLED e excelente desempenho para criadores de conteúdo.'; '/static/img/samsung_galaxy_book_pro_360.jpg'
'Apple MacBook Air M1'; 'Notebook'; 'Apple'; '10499.00'; '1.29'; 'Ultrabook com processador M1, desempenho incrível e design ultrafino.'; '/static/img/apple_macbook_air_m1.jpg'
'LG Gram 14Z90Q'; 'Notebook'; 'LG'; '8199.00'; '0.999'; 'Notebook leve e durável, ideal para quem busca portabilidade e eficiência.'; '/static/img/lg_gram_14z90q.jpg'
'Huawei MateBook X Pro'; 'Notebook'; 'Huawei'; '9499.00'; '1.33'; 'Notebook premium com tela de alta resolução e desempenho potente.'; '/static/img/huawei_matebook_x_pro.jpg'
'Microsoft Surface Laptop 4'; 'Notebook'; 'Microsoft'; '7999.00'; '1.27'; 'Laptop elegante e eficiente, ideal para produtividade e uso pessoal.'; '/static/img/microsoft_surface_laptop_4.jpg'
'ASUS VivoBook 15 X512'; 'Notebook'; 'ASUS'; '3499.00'; '1.8'; 'Notebook acessível com bom desempenho para tarefas diárias e estudos.'; '/static/img/asus_vivobook_15_x512.jpg'
'Acer Swift 3 SF314'; 'Notebook'; 'Acer'; '4999.00'; '1.2'; 'Ultrabook com design leve e bom desempenho para produtividade e mobilidade.'; '/static/img/acer_swift_3_sf314.jpg'
'Dell XPS 13'; 'Notebook'; 'Dell'; '9799.00'; '1.2'; 'Notebook premium com tela pequena e excelente desempenho para tarefas exigentes.'; '/static/img/dell_xps_13.jpg'
'Lenovo ThinkPad X1 Carbon'; 'Notebook'; 'Lenovo'; '12999.00'; '1.09'; 'Laptop empresarial com desempenho robusto e design leve e durável.'; '/static/img/lenovo_thinkpad_x1_carbon.jpg'
'HP Spectre x360 14'; 'Notebook'; 'HP'; '11499.00'; '1.34'; 'Notebook conversível com design premium e excelente performance para criadores de conteúdo.'; '/static/img/hp_spectre_x360_14.jpg'
'Samsung Galaxy Book Ion'; 'Notebook'; 'Samsung'; '7799.00'; '0.97'; 'Ultrabook com tela AMOLED e ótimo desempenho para usuários em movimento.'; '/static/img/samsung_galaxy_book_ion.jpg'
'ASUS ExpertBook B9'; 'Notebook'; 'ASUS'; '9999.00'; '0.88'; 'Notebook profissional com design ultraleve e desempenho robusto para ambientes corporativos.'; '/static/img/asus_expertbook_b9.jpg'
'LG Gram 17Z90N'; 'Notebook'; 'LG'; '11499.00'; '1.35'; 'Notebook com grande tela e design leve, ideal para quem precisa de uma máquina potente e portátil.'; '/static/img/lg_gram_17z90n.jpg'
'Microsoft Surface Pro 8'; 'Notebook'; 'Microsoft'; '10499.00'; '0.89'; 'Tablet com teclado destacável, excelente para produtividade e versatilidade em qualquer lugar.'; '/static/img/microsoft_surface_pro_8.jpg'
'Huawei MateBook D15'; 'Notebook'; 'Huawei'; '3999.00'; '1.56'; 'Notebook com design elegante e bom desempenho para uso diário e produtividade.'; '/static/img/huawei_matebook_d15.jpg'
