'Apple AirPods Pro (2ª geração)'; 'Fone de Ouvido'; 'Apple'; '1299.00'; '0.2'; 'Fone auricular com cancelamento de ruído ativo e ajuste personalizado.'; '../static/img/produtos/fones_de_ouvido/apple_airpods_pro_2.jpg'
'Samsung Galaxy Buds Pro'; 'Fone de Ouvido'; 'Samsung'; '899.00'; '0.1'; 'Fone auricular com cancelamento de ruído ativo e som de alta qualidade.'; '../static/img/produtos/fones_de_ouvido/samsung_galaxy_buds_pro.jpg'
'Sony WF-1000XM4'; 'Fone de Ouvido'; 'Sony'; '1399.00'; '0.1'; 'Fone auricular com tecnologia de cancelamento de ruído líder no mercado.'; '../static/img/produtos/fones_de_ouvido/sony_wf_1000xm4.jpg'
'JBL Live Pro+'; 'Fone de Ouvido'; 'JBL'; '799.00'; '0.1'; 'Fone auricular com cancelamento de ruído ativo e som imersivo.'; '../static/img/produtos/fones_de_ouvido/jbl_live_pro_plus.jpg'
'Bose QuietComfort Earbuds'; 'Fone de Ouvido'; 'Bose'; '1599.00'; '0.2'; 'Fone auricular com cancelamento de ruído e qualidade de som superior.'; '../static/img/produtos/fones_de_ouvido/bose_quietcomfort_earbuds.jpg'
'Sennheiser Momentum True Wireless 3'; 'Fone de Ouvido'; 'Sennheiser'; '1299.00'; '0.2'; 'Fone auricular com cancelamento de ruído e áudio de alta fidelidade.'; '../static/img/produtos/fones_de_ouvido/sennheiser_momentum_true_wireless_3.jpg'
'Google Pixel Buds Pro'; 'Fone de Ouvido'; 'Google'; '1099.00'; '0.1'; 'Fone auricular com cancelamento de ruído ativo e integração com Google Assistente.'; '../static/img/produtos/fones_de_ouvido/google_pixel_buds_pro.jpg'
'Anker Soundcore Liberty Air 2 Pro'; 'Fone de Ouvido'; 'Anker'; '649.00'; '0.1'; 'Fone auricular com cancelamento de ruído e som equilibrado.'; '../static/img/produtos/fones_de_ouvido/anker_soundcore_liberty_air_2_pro.jpg'
'Razer Hammerhead True Wireless Pro'; 'Fone de Ouvido'; 'Razer'; '799.00'; '0.1'; 'Fone auricular com cancelamento de ruído ativo e modo de baixa latência.'; '../static/img/produtos/fones_de_ouvido/razer_hammerhead_true_wireless_pro.jpg'
'OnePlus Buds Pro'; 'Fone de Ouvido'; 'OnePlus'; '899.00'; '0.1'; 'Fone auricular com cancelamento de ruído e som dinâmico.'; '../static/img/produtos/fones_de_ouvido/oneplus_buds_pro.jpg'

'Beats Solo3 Wireless'; 'Fone de Ouvido'; 'Beats'; '1199.00'; '0.2'; 'Fone supra-auricular com som potente e até 40 horas de bateria.'; '../static/img/produtos/fones_de_ouvido/beats_solo3_wireless.jpg'
'JBL Tune 700BT'; 'Fone de Ouvido'; 'JBL'; '399.00'; '0.3'; 'Fone supra-auricular com som potente e bateria de longa duração.'; '../static/img/produtos/fones_de_ouvido/jbl_tune_700bt.jpg'
'Sony WH-CH510'; 'Fone de Ouvido'; 'Sony'; '299.00'; '0.2'; 'Fone supra-auricular leve com até 35 horas de bateria.'; '../static/img/produtos/fones_de_ouvido/sony_wh_ch510.jpg'
'Audio-Technica ATH-S200BT'; 'Fone de Ouvido'; 'Audio-Technica'; '399.00'; '0.2'; 'Fone supra-auricular com som balanceado e até 40 horas de bateria.'; '../static/img/produtos/fones_de_ouvido/audio_technica_ath_s200bt.jpg'
'Marshall Major IV'; 'Fone de Ouvido'; 'Marshall'; '799.00'; '0.3'; 'Fone supra-auricular com som característico Marshall e bateria de longa duração.'; '../static/img/produtos/fones_de_ouvido/marshall_major_iv.jpg'
'Sennheiser HD 250BT'; 'Fone de Ouvido'; 'Sennheiser'; '299.00'; '0.2'; 'Fone supra-auricular com som dinâmico e leveza.'; '../static/img/produtos/fones_de_ouvido/sennheiser_hd_250bt.jpg'
'Plantronics BackBeat GO 600'; 'Fone de Ouvido'; 'Plantronics'; '499.00'; '0.2'; 'Fone supra-auricular com som potente e bateria de longa duração.'; '../static/img/produtos/fones_de_ouvido/plantronics_backbeat_go_600.jpg'
'Edifier W820NB'; 'Fone de Ouvido'; 'Edifier'; '599.00'; '0.3'; 'Fone supra-auricular com cancelamento de ruído ativo e som equilibrado.'; '../static/img/produtos/fones_de_ouvido/edifier_w820nb.jpg'
