'Corsair Vengeance LPX 16GB (2x8GB) 3200MHz'; 'Memória RAM'; 'Corsair'; '399.00'; '0.1'; 'Memória RAM com alta performance e baixo perfil.'; '/static/img/corsair_vengeance_lpx_16gb_3200mhz.png'
'Kingston FURY Beast 16GB (2x8GB) 3600MHz'; 'Memória RAM'; 'Kingston'; '439.00'; '0.095'; 'Memória RAM com alta velocidade e desempenho robusto.'; '/static/img/kingston_fury_beast_16gb_3600mhz.png'
'G.Skill Trident Z Neo 16GB (2x8GB) 3600MHz'; 'Memória RAM'; 'G.Skill'; '499.00'; '0.11'; 'Memória RAM com iluminação RGB e alta velocidade.'; '/static/img/gskill_trident_z_neo_16gb_3600mhz.png'
'Crucial Ballistix 16GB (2x8GB) 3200MHz'; 'Memória RAM'; 'Crucial'; '379.00'; '0.105'; 'Memória RAM confiável com bom desempenho.'; '/static/img/crucial_ballistix_16gb_3200mhz.png'
'Team Group T-Force Delta RGB 16GB (2x8GB) 3200MHz'; 'Memória RAM'; 'Team Group'; '429.00'; '0.12'; 'Memória RAM com iluminação RGB e desempenho sólido.'; '/static/img/team_group_t_force_delta_rgb_16gb_3200mhz.png'
'ADATA XPG Spectrix D60G 16GB (2x8GB) 3600MHz'; 'Memória RAM'; 'ADATA'; '449.00'; '0.13'; 'Memória RAM com design elegante e alta frequência.'; '/static/img/adata_xpg_spectrix_d60g_16gb_3600mhz.png'
'HyperX Predator RGB 16GB (2x8GB) 3200MHz'; 'Memória RAM'; 'HyperX'; '469.00'; '0.115'; 'Memória RAM com desempenho avançado e iluminação RGB.'; '/static/img/hyperx_predator_rgb_16gb_3200mhz.png'
'G.Skill Ripjaws V 16GB (2x8GB) 3200MHz'; 'Memória RAM'; 'G.Skill'; '389.00'; '0.108'; 'Memória RAM com bom equilíbrio entre desempenho e preço.'; '/static/img/gskill_ripjaws_v_16gb_3200mhz.png'
'Patriot Viper Steel 16GB (2x8GB) 3600MHz'; 'Memória RAM'; 'Patriot'; '429.00'; '0.102'; 'Memória RAM com alta velocidade e boa construção.'; '/static/img/patriot_viper_steel_16gb_3600mhz.png'
'Corsair Dominator Platinum RGB 16GB (2x8GB) 3200MHz'; 'Memória RAM'; 'Corsair'; '629.00'; '0.125'; 'Memória RAM premium com iluminação RGB e desempenho top.'; '/static/img/corsair_dominator_platinum_rgb_16gb_3200mhz.png'
'Kingston HyperX Fury 16GB (2x8GB) 2666MHz'; 'Memória RAM'; 'Kingston'; '359.00'; '0.1'; 'Memória RAM com boa performance para tarefas básicas.'; '/static/img/kingston_hyperx_fury_16gb_2666mhz.png'
